"SOC","total_N"
21.08594036,1.758014313
19.93839349,1.746159135
20.06665208,1.571183176
18.28188595,1.512954946
18.51473325,1.597043935
22.84019944,1.927528717
26.25421005,2.140631985
18.86621708,1.596850737
15.10679628,1.320257403
18.78496445,1.610389011
22.31798758,1.751181831
35.84571796,2.46069675
17.71340621,1.45586168
23.40191253,2.043593648
22.26670019,1.797283944
18.68572173,1.583776437
21.14458435,1.909434024
18.67504938,1.777620185
17.24917058,1.496582421
31.35681709,2.119130158
17.85665485,1.503437513
19.80218972,1.704292609
19.92424257,1.783025163
20.4551608,1.785962511
16.54176978,1.490733455
19.3416163,1.755042396
19.54257413,1.723636835
27.96538045,2.164282806
18.73776553,1.578168655
18.73253439,1.634849558
22.83705625,2.007937178
23.73816973,1.936406709
22.00414202,1.928591267
17.73044989,1.599720663
17.9442462,1.620236536
17.97847909,1.581767091
